Mission_ID,Name,Start_Date,End_Date,Objective
MIS001,Apollo 11,7/16/1969,7/24/1969,First manned moon landing
MIS002,Voyager 1,9/5/1977,10/10/1980,Explore outer planets and beyond
MIS003,Venus Mission,9/3/2008,5/8/2009,Observe atmospheric conditions
MIS004,Lunar Base Setup,6/4/2000,8/1/2001,Analyze soil samples
MIS005,Mars Rover,4/15/2003,10/7/2005,Observe atmospheric conditions
MIS006,Mars Rover,12/14/1990,3/15/1991,Analyze soil samples
MIS007,Saturn Watch,3/25/2014,5/5/2015,Study cosmic rays
MIS008,Saturn Watch,12/3/1980,8/9/1983,Study cosmic rays
MIS009,Lunar Base Setup,2/18/1988,4/20/1990,Study cosmic rays
MIS010,Neptune Odyssey,5/5/2020,4/23/2021,Search for extraterrestrial life
MIS011,Neptune Odyssey,2/2/2010,10/11/2010,Search for extraterrestrial life
MIS012,Venus Mission,6/6/1982,12/7/1984,Map surface
MIS013,Neptune Odyssey,8/8/2001,8/8/2005,Analyze soil samples
MIS014,Lunar Base Setup,3/12/1987,6/28/1989,Analyze soil samples
MIS015,Mars Rover,12/10/2012,8/6/2013,Analyze soil samples
MIS016,Jupiter Probe,7/17/1980,4/14/1982,Study cosmic rays
MIS017,Saturn Watch,4/9/1983,8/10/1983,Observe atmospheric conditions
MIS018,Lunar Base Setup,1/20/2003,5/17/2003,Map surface
MIS019,Mars Rover,12/5/1980,3/6/1982,Search for extraterrestrial life
MIS020,Saturn Watch,5/23/1998,4/6/2000,Observe atmospheric conditions
MIS021,Galaxy Explorer,6/1/1993,10/7/1994,Observe atmospheric conditions
MIS022,Saturn Watch,11/11/2019,12/12/2020,Analyze soil samples
MIS023,Neptune Odyssey,10/19/2015,2/4/2020,Observe atmospheric conditions
MIS024,Lunar Base Setup,8/19/2023,12/10/2024,Map surface
MIS025,Venus Mission,12/17/2010,5/6/2015,Observe atmospheric conditions
MIS026,Jupiter Probe,10/13/2022,10/10/2023,Study cosmic rays
MIS027,Venus Mission,1/25/1987,6/20/1989,Analyze soil samples
MIS028,Galaxy Explorer,7/18/2015,12/2/2016,Map surface
MIS029,Saturn Watch,9/19/1996,7/26/1997,Search for extraterrestrial life
MIS030,Saturn Watch,2/24/2024,8/25/2024,Search for extraterrestrial life
MIS031,Mars Rover,10/24/2017,2/3/2018,Analyze soil samples
MIS032,Neptune Odyssey,7/8/2002,12/22/2002,Study cosmic rays
MIS033,Neptune Odyssey,2/21/2016,7/3/2019,Observe atmospheric conditions
MIS034,Lunar Base Setup,2/21/2022,7/13/2022,Map surface
MIS035,Venus Mission,12/12/2020,7/16/2023,Analyze soil samples
MIS036,Saturn Watch,4/20/2007,2/4/2010,Analyze soil samples
MIS037,Jupiter Probe,2/12/2014,10/28/2014,Map surface
MIS038,Mars Rover,8/25/1980,9/14/1981,Observe atmospheric conditions
MIS039,Jupiter Probe,2/5/2020,11/9/2020,Observe atmospheric conditions
MIS040,Mars Rover,2/8/1985,5/21/1985,Search for extraterrestrial life
MIS041,Neptune Odyssey,12/13/2001,12/12/2005,Search for extraterrestrial life
MIS042,Neptune Odyssey,1/6/2011,8/19/2013,Analyze soil samples
MIS043,Neptune Odyssey,6/6/1987,5/19/1989,Study cosmic rays
MIS044,Galaxy Explorer,10/11/2018,8/6/2020,Study cosmic rays
MIS045,Neptune Odyssey,1/20/2006,1/2/2009,Search for extraterrestrial life
MIS046,Neptune Odyssey,5/26/2021,4/3/2023,Analyze soil samples
MIS047,Neptune Odyssey,5/14/1982,6/23/1983,Search for extraterrestrial life
MIS048,Mars Rover,2/19/1984,3/6/1990,Map surface
MIS049,Neptune Odyssey,11/24/1989,1/15/1990,Search for extraterrestrial life
MIS050,Jupiter Probe,4/7/2006,12/1/2007,Search for extraterrestrial life
MIS051,Jupiter Probe,1/11/2020,1/2/2021,Analyze soil samples
MIS052,Lunar Base Setup,3/8/2023,2/16/2025,Map surface
